data-hora,id,conteudo,candidato,tweet_limpo
2022-07-31 00:00:48+00:00,1553531086147297280,"@LulaOficial @ricardostuckert Casa destruída pelos Esquemas de Corrupção como PETROLÃO, MENSALÃO E LAVA-JATO!😈
#LugarDeCorruptoEnaCadeia",lula,"  casa destruída pelos esquemas de corrupção como petrolão, mensalão e lava-jato!😈"
2022-07-31 00:00:48+00:00,1553531084645842947,"🤣😂🤣😂🤣😂🤣Navio afundando, ratos correndo pra fora!!! @LulaOficial #LulaMelhorPresidente https://t.co/bzI8sDCPya",lula,"🤣😂🤣😂🤣😂🤣navio afundando, ratos correndo pra fora!!!   "
2022-07-31 00:00:45+00:00,1553531071702224897,"@FlavioBolsonaro Bateu o desespero né meu filho???😅😅😅.Lula tá chegando!!!! 
#lulaeleitonoprimeiroturno #Lula13
#LulaPresidente13 https://t.co/TiGG8zUHX8",lula, bateu o desespero né meu filho???😅😅😅.lula tá chegando!!!!   
2022-07-31 00:00:45+00:00,1553531070662017027,"@ElianaORSdS @MaAmarco @VEJA @Mleitaonetto Sim, tem.
Mas o Lula elogiou abertamente um radical (que tentou assassinar um homem o atirando contra um caminhão), disse que é esse tipo de comportamento que ele espera de seus apoiadores.",lula,"    sim, tem.mas o lula elogiou abertamente um radical (que tentou assassinar um homem o atirando contra um caminhão), disse que é esse tipo de comportamento que ele espera de seus apoiadores."
2022-07-31 00:00:45+00:00,1553531070250893313,"@LulaOficial Puta que pariu, esse filho da puta, LADRÃO tá curtindo com a cara do trabalhador.",lula," puta que pariu, esse filho da puta, ladrão tá curtindo com a cara do trabalhador."
2022-07-31 00:00:44+00:00,1553531069898625027,"Brandão , Camarão,Flávio Dino e Lula 💪🏻  .
 O Maranhão não pode parar ❤️
#lulaeleitonoprimeiroturno",lula,"brandão , camarão,flávio dino e lula 💪🏻  . o maranhão não pode parar ❤️"
2022-07-31 00:00:44+00:00,1553531069202403328,"@RealPrixorM @decaa51 @DepEduardoCunha Então cara, O Eduardo Cunha também já foi condenado e foi solto igual o Lula.
Dois ladrões,e aí?",lula,"   então cara, o eduardo cunha também já foi condenado e foi solto igual o lula.dois ladrões,e aí?"
2022-07-31 00:00:44+00:00,1553531069000998915,@jairbolsonaro Lula vem aí!,lula, lula vem aí!
2022-07-31 00:00:44+00:00,1553531068162215937,"@reinaldoazevedo Reinaldo pronto pra andar de mãos dadas com Lula. Mel dels, como pude um dia ter assistido você na Veja TV? 

Olavo tinha razão 🎭✂️",lula," reinaldo pronto pra andar de mãos dadas com lula. mel dels, como pude um dia ter assistido você na veja tv? olavo tinha razão 🎭✂️"
2022-07-31 00:00:44+00:00,1553531067826667520,@LuizianneLinsPT @LulaOficial @elmanofreitas @PTCearaOficial Olá @LuizianneLinsPT conseguiu entregar a sacola de pano para @JanjaLula ? Curiosa para saber,lula,    olá  conseguiu entregar a sacola de pano para  ? curiosa para saber
2022-07-31 00:00:42+00:00,1553531058464952320,"@LulaOficial @elmanofreitaspt @CamiloSantanaCE @ricardostuckert Para de fazer eventos para sindicalistas... 

Encare o povo!!",lula,    para de fazer eventos para sindicalistas... encare o povo!!
2022-07-31 00:00:39+00:00,1553531048792887296,@StelaDias3 @JosePer64341466 @LulaOficial @dilmabr Tá comendo merda mesmo. Deve ser batedor de carteira.,lula,    tá comendo merda mesmo. deve ser batedor de carteira.
2022-07-31 00:00:39+00:00,1553531048566444034,@DepEduardoCunha Cada dia fica mais fácil votar no @LulaOficial,lula, cada dia fica mais fácil votar no 
2022-07-31 00:00:38+00:00,1553531043478732805,@LulaOficial Quem paga seu jatinho?,lula, quem paga seu jatinho?
2022-07-31 00:00:38+00:00,1553531042220412941,"Lula em Fortaleza: esta eleição é a democracia contra o fascismo, o amor contra o ódio https://t.co/srs81EhwTR",lula,"lula em fortaleza: esta eleição é a democracia contra o fascismo, o amor contra o ódio "
2022-07-31 00:00:36+00:00,1553531035845009411,"@LulaOficial @CamiloSantanaCE @elmanofreitaspt @ricardostuckert Quando a foto é cheia de efeitos especiais para disfarçar o vazio.
É o povo contigo, ex-presidiário! https://t.co/sFgKtCrJ7A",lula,"    quando a foto é cheia de efeitos especiais para disfarçar o vazio.é o povo contigo, ex-presidiário! "
2022-07-31 00:00:36+00:00,1553531033273999362,@Anderso11565208 @TimeBonsonario @JailmaFabiana @LulaOficial @ricardostuckert Você é retarda** não é possível:,lula,     você é retarda** não é possível:
2022-07-31 00:00:35+00:00,1553531031260733440,@LulaOficial Estou fora de ladroes,lula, estou fora de ladroes
2022-07-31 00:00:35+00:00,1553531031059324930,"@padilhando Teu Lula ex presidiário e teu partido PT de corrupto vão perder, vamos enterrar de vez a possibilidade do ex condenado e do partido das trevas de voltar a governar esse país, eu tô na luta contra essa quadrilha propineira de querer voltar ao governo, temos que nos libertar.",lula," teu lula ex presidiário e teu partido pt de corrupto vão perder, vamos enterrar de vez a possibilidade do ex condenado e do partido das trevas de voltar a governar esse país, eu tô na luta contra essa quadrilha propineira de querer voltar ao governo, temos que nos libertar."
2022-07-31 00:00:35+00:00,1553531030568591367,"@cirogomes Teria tirado até o Lula né, só não venceu até hoje porque não se vendeu nem por uma BMW",lula," teria tirado até o lula né, só não venceu até hoje porque não se vendeu nem por uma bmw"
2022-07-31 00:00:35+00:00,1553531028861583362,@guimaraes13PT @LulaOficial Ambiente fechado … controlado … em casa … enclausurado … na cadeia !!!,lula,  ambiente fechado … controlado … em casa … enclausurado … na cadeia !!!
2022-07-31 00:00:34+00:00,1553531026391146500,@ToniSmachado @LulaOficial Tomara . Votar em um ladrão não .,lula,  tomara . votar em um ladrão não .
